,Brand,Model,Price,Location,Engine,Model Year,Fuel Type,Road Trip
74,Royal,Royal Enfield Interceptor 650cc ,"2,73,000",, 650cc,2020,petrol,"14,550"
75,Harley-Davidson,Harley-Davidson XG750 750cc ,"3,07,000",bangalore, 750cc,2016,petrol,"13,950"
76,Hyosung,Hyosung Aquila GV250 ,"1,00,000",bangalore,,2014,petrol,"4,850"
77,Triumph,Triumph Daytona 675 ABS ,"8,37,400",bangalore, 675 ABS,2016,petrol,"12,000"
78,Ducati,Ducati Scrambler Classic ,"5,24,700",bangalore,,2015,petrol,"22,000"
79,Kawasaki,Kawasaki Versys 650cc ,"6,09,500",mumbai, 650cc,2016,petrol,"11,500"
80,Triumph,Triumph Street Triple S ,"8,21,500",mumbai,,2017,petrol,"13,000"
81,Triumph,Triumph Bonneville T100 865cc ,"3,97,500",mumbai, 865cc,2014,petrol,"5,500"
82,Ducati,Ducati Panigale 959 ,"11,66,000",mumbai, 959,2016,petrol,"16,200"
83,Kawasaki,Kawasaki Z1000 ,"8,69,200",mumbai,,2014,petrol,"2,400"
84,Triumph,Triumph Bonneville T120 ,"7,52,600",mumbai,,2016,petrol,"7,600"
85,Kawasaki,Kawasaki Ninja ZX-10R ,"13,67,400",mumbai,,2017,petrol,"3,200"
86,Royal,Royal Enfield Interceptor 650cc ,"3,04,500",mumbai, 650cc,2019,petrol,"8,000"
87,BMW,BMW G 310 R ,"2,36,250",mumbai, 310 R,2019,petrol,"13,400"
88,Kawasaki,Kawasaki Z900 ,"10,50,000",mumbai,,2020,petrol,"4,000"
89,Kawasaki,Kawasaki Z650 ,"3,93,750",mumbai,,2018,petrol,"4,500"
90,Kawasaki,Kawasaki Z800 ,"6,36,000",mumbai,,2016,petrol,"12,950"
91,Harley-Davidson,Harley-Davidson 1200 Custom ,"6,89,000",mumbai, 120,2016,petrol,"12,100"
92,Triumph,Triumph Bonneville T100 900cc ,"6,89,000",mumbai, 900cc,2017,petrol,"16,500"
93,BMW,BMW F850 GS 850cc ,"14,57,500",mumbai, 850cc,2019,petrol,"17,900"
94,BMW,BMW R 1200 GS ,"16,43,000",mumbai, 1200 GS,2018,petrol,"24,150"
95,Kawasaki,Kawasaki Versys 650cc ,"5,83,000",mumbai, 650cc,2016,petrol,"9,000"
96,Ducati,Ducati Scrambler Classic ,"5,30,000",mumbai,,2017,petrol,"4,500"
97,Ducati,Ducati Multistrada 950 ,"8,42,700",mumbai, 950,2017,petrol,"8,300"
98,Suzuki,Suzuki GSX-S 1000F ,"7,15,500",mumbai, 100,2015,petrol,"9,800"
99,Harley-Davidson,Harley-Davidson 1200 Custom ,"7,15,500",, 120,2018,petrol,"8,450"
100,Ducati,Ducati Diavel Carbon ,"9,69,900",mumbai,,2016,petrol,"2,880"
101,Triumph,Triumph Street Scrambler 900cc ,"7,84,400",mumbai, 900cc,2019,petrol,"15,400"
102,Triumph,Triumph Bonneville T100 900cc ,"5,03,500",mumbai, 900cc,2015,petrol,"29,300"
103,Kawasaki,Kawasaki Versys 1000 ,"7,95,000",mumbai, 100,2017,petrol,"13,300"
104,Kawasaki,Kawasaki Z800 ,"6,20,100",mumbai,,2015,petrol,"25,600"
