Unnamed: 0,Brand,Model,Price,Location,Engine,Model Year,Fuel Type,Road Trip,Model_Year
64,Royal,Royal Enfield Interceptor 650cc BS6 ,322400,mumbai,650cc,2021,petrol,7800,2021
65,Royal,Royal Enfield Interceptor 650cc ,312000,mumbai,650cc,2020,petrol,19000,2020
66,Kawasaki,Kawasaki Ninja 300 ,390000,mumbai,300cc,2022,petrol,5400,2022
67,Kawasaki,Kawasaki Z650 ,494000,mumbai,650cc,2019,petrol,15000,2019
68,Kawasaki,Kawasaki Z900 ,759200,mumbai,650cc,2017,petrol,9000,2017
69,Royal,Royal Enfield Interceptor 650cc BS6 ,340000,mumbai,650cc,2021,petrol,8000,2021
70,Benelli,Benelli 302R 300CC ,234000,mumbai,302cc,2018,petrol,16000,2018
71,Harley-Davidson,Harley-Davidson Sportster 883 ,555000,bangalore,883cc,2016,petrol,9000,2016
72,Royal,Royal Enfield Interceptor 650cc ,275000,bangalore,650cc,2020,petrol,14000,2020
73,Royal,Royal Enfield Interceptor 650cc ,239200,bangalore,650cc,2019,petrol,6000,2019
74,Royal,Royal Enfield Interceptor 650cc ,273000,,650cc,2020,petrol,14550,2020
75,Harley-Davidson,Harley-Davidson XG750 750cc ,307000,bangalore,750cc,2016,petrol,13950,2016
76,Hyosung,Hyosung Aquila GV250 ,100000,bangalore,650cc,2014,petrol,4850,2014
77,Triumph,Triumph Daytona 675 ABS ,837400,bangalore,675cc,2016,petrol,12000,2016
78,Ducati,Ducati Scrambler Classic ,524700,bangalore,650cc,2015,petrol,22000,2015
79,Kawasaki,Kawasaki Versys 650cc ,609500,mumbai,650cc,2016,petrol,11500,2016
80,Triumph,Triumph Street Triple S ,821500,mumbai,650cc,2017,petrol,13000,2017
81,Triumph,Triumph Bonneville T100 865cc ,397500,mumbai,865cc,2014,petrol,5500,2014
82,Ducati,Ducati Panigale 959 ,1166000,mumbai,959cc,2016,petrol,16200,2016
83,Kawasaki,Kawasaki Z1000 ,869200,mumbai,650cc,2014,petrol,2400,2014
84,Triumph,Triumph Bonneville T120 ,752600,mumbai,650cc,2016,petrol,7600,2016
85,Kawasaki,Kawasaki Ninja ZX-10R ,1367400,mumbai,650cc,2017,petrol,3200,2017
86,Royal,Royal Enfield Interceptor 650cc ,304500,mumbai,650cc,2019,petrol,8000,2019
87,BMW,BMW G 310 R ,236250,mumbai,310cc,2019,petrol,13400,2019
88,Kawasaki,Kawasaki Z900 ,1050000,mumbai,650cc,2020,petrol,4000,2020
89,Kawasaki,Kawasaki Z650 ,393750,mumbai,650cc,2018,petrol,4500,2018
90,Kawasaki,Kawasaki Z800 ,636000,mumbai,650cc,2016,petrol,12950,2016
91,Harley-Davidson,Harley-Davidson 1200 Custom ,689000,mumbai,120cc,2016,petrol,12100,2016
92,Triumph,Triumph Bonneville T100 900cc ,689000,mumbai,900cc,2017,petrol,16500,2017
93,BMW,BMW F850 GS 850cc ,1457500,mumbai,850cc,2019,petrol,17900,2019
94,BMW,BMW R 1200 GS ,1643000,mumbai,1200cc,2018,petrol,24150,2018
95,Kawasaki,Kawasaki Versys 650cc ,583000,mumbai,650cc,2016,petrol,9000,2016
96,Ducati,Ducati Scrambler Classic ,530000,mumbai,650cc,2017,petrol,4500,2017
97,Ducati,Ducati Multistrada 950 ,842700,mumbai,950cc,2017,petrol,8300,2017
98,Suzuki,Suzuki GSX-S 1000F ,715500,mumbai,100cc,2015,petrol,9800,2015
99,Harley-Davidson,Harley-Davidson 1200 Custom ,715500,,120cc,2018,petrol,8450,2018
100,Ducati,Ducati Diavel Carbon ,969900,mumbai,650cc,2016,petrol,2880,2016
101,Triumph,Triumph Street Scrambler 900cc ,784400,mumbai,900cc,2019,petrol,15400,2019
102,Triumph,Triumph Bonneville T100 900cc ,503500,mumbai,900cc,2015,petrol,29300,2015
103,Kawasaki,Kawasaki Versys 1000 ,795000,mumbai,100cc,2017,petrol,13300,2017
104,Kawasaki,Kawasaki Z800 ,620100,mumbai,650cc,2015,petrol,25600,2015
105,Honda,Honda CB 1000R ,477000,mumbai,100cc,2010,petrol,6800,2010
106,Ducati,Ducati Diavel 1200cc ,848000,mumbai,1200cc,2015,petrol,33300,2015
107,Triumph,Triumph Street Triple 765 ,874500,mumbai,765cc,2018,petrol,28650,2018
108,Kawasaki,Kawasaki Ninja 1000 ,874500,mumbai,100cc,2019,petrol,22500,2019
109,Harley-Davidson,Harley-Davidson Fat Boy ,826800,mumbai,650cc,2015,petrol,15900,2015
110,Triumph,Triumph Tiger Explorer ,927500,mumbai,650cc,2015,petrol,8300,2015
111,Kawasaki,Kawasaki Z1000 ,848000,mumbai,650cc,2014,petrol,13150,2014
112,Kawasaki,Kawasaki Z900 ,757900,mumbai,650cc,2018,petrol,22300,2018
113,Honda,Honda CBR1000RR Fireblade ,1325000,mumbai,650cc,2017,petrol,13500,2017
114,Yamaha,Yamaha YZF-R1 1000cc ,1876200,mumbai,1000cc,2015,petrol,15500,2015
115,BMW,BMW S 1000 RR ,1828500,mumbai,1000cc,2018,petrol,19760,2018
116,Kawasaki,Kawasaki Ninja ZX-10RR ,1563500,mumbai,650cc,2018,petrol,14500,2018
117,Triumph,Triumph Daytona 675 ABS ,948700,mumbai,675cc,2016,petrol,32750,2016
118,Honda,Honda CBR1000RR Fireblade ,1902700,mumbai,650cc,2017,petrol,20000,2017
119,Harley-Davidson,Harley-Davidson Fat Boy ,1086500,mumbai,650cc,2016,petrol,4800,2016
120,Kawasaki,Kawasaki Z900 ,756000,mumbai,650cc,2019,petrol,5600,2019
121,Suzuki,Suzuki GSX-R 1000cc ,1076250,mumbai,1000cc,2015,petrol,18900,2015
122,BMW,BMW F750 GS 850cc ,1302000,mumbai,850cc,2020,petrol,15500,2020
123,BMW,BMW F750 GS 850cc ,1139250,mumbai,850cc,2020,petrol,8500,2020
124,Kawasaki,Kawasaki Z800 ,656250,,650cc,2016,petrol,12150,2016
125,Ducati,Ducati Scrambler Urban Enduro ,603750,mumbai,650cc,2017,petrol,20200,2017
126,Kawasaki,Kawasaki Ninja 400 ,446250,mumbai,400cc,2019,petrol,20000,2019
127,Triumph,Triumph Street Triple 765 ,866250,mumbai,765cc,2018,petrol,15450,2018
128,Triumph,Triumph Speed Triple 1050cc ,519750,mumbai,1050cc,2017,petrol,2150,2017
129,Kawasaki,Kawasaki Z800 ,656250,mumbai,650cc,2016,petrol,19500,2016
130,Kawasaki,Kawasaki Z800 ,614250,mumbai,650cc,2015,petrol,2000,2015
131,BMW,BMW G 310 R ,278250,mumbai,310cc,2019,petrol,7000,2019
132,Triumph,Triumph Street Triple 765 ,735000,mumbai,765cc,2018,petrol,23000,2018
133,Harley-Davidson,Harley-Davidson 1200 Custom ,885000,mumbai,120cc,2018,petrol,33000,2018
134,Kawasaki,Kawasaki Ninja ZX-6R ,1291500,mumbai,650cc,2019,petrol,6100,2019
135,Yamaha,Yamaha FZ1 1000cc ,551250,mumbai,1000cc,2011,petrol,7800,2011
136,Benelli,Benelli TNT 600i ,505000,mumbai,600cc,2017,petrol,27200,2017
137,Harley-Davidson,Harley-Davidson Forty Eight ,720800,mumbai,650cc,2016,petrol,5400,2016
138,Suzuki,Suzuki Intruder M1800R ,1113000,bangalore,650cc,2015,petrol,12250,2015
139,Harley-Davidson,Harley-Davidson Fat Boy ,1547600,mumbai,650cc,2018,petrol,7150,2018
140,Kawasaki,Kawasaki Z1000 ,901000,mumbai,650cc,2016,petrol,11800,2016
141,Honda,Honda CBR 1000RR ,1060000,bangalore,100cc,2013,petrol,16400,2013
142,Ducati,Ducati Panigale 959 ,1166000,mumbai,959cc,2016,petrol,27800,2016
143,Suzuki,Suzuki V-Strom 650 XT ,848000,mumbai,650cc,2018,petrol,9000,2018
144,Kawasaki,Kawasaki Z900 ,890400,mumbai,650cc,2017,petrol,23000,2017
145,Honda,Honda CB 1000R ,530000,mumbai,100cc,2010,petrol,17000,2010
146,Suzuki,Suzuki Hayabusa 1300cc ,1113000,mumbai,1300cc,2014,petrol,2300,2014
147,Triumph,Triumph Bonneville T100 900cc ,492900,mumbai,900cc,2015,petrol,14850,2015
148,Suzuki,Suzuki Intruder M1800R ,795000,mumbai,650cc,2011,petrol,2300,2011
149,Kawasaki,Kawasaki Ninja 650cc ,477000,,650cc,2018,petrol,23100,2018
150,BMW,BMW R 1200 GS ,1855000,mumbai,1200cc,2018,petrol,16700,2018
151,Ducati,Ducati SuperSport ,1060000,mumbai,650cc,2018,petrol,14200,2018
152,BMW,BMW K 1300 R ,1166000,mumbai,1300cc,2012,petrol,8700,2012
153,Suzuki,Suzuki Intruder M1800R ,1007000,mumbai,650cc,2013,petrol,11100,2013
154,Kawasaki,Kawasaki Z800 ,609500,mumbai,650cc,2015,petrol,33200,2015
155,Suzuki,Suzuki GSX-R 1000cc ,1219000,mumbai,1000cc,2015,petrol,9800,2015
156,Ducati,Ducati Scrambler 1100 ,879800,mumbai,110cc,2020,petrol,10450,2020
157,BMW,BMW S 1000 R ,1113000,mumbai,1000cc,2015,petrol,3801,2015
158,Kawasaki,Kawasaki Versys 1000 ,1219000,mumbai,100cc,2019,petrol,3000,2019
159,Kawasaki,Kawasaki Ninja 400 ,450500,mumbai,400cc,2019,petrol,12950,2019
160,Triumph,Triumph Tiger 800 XRX ,1335600,mumbai,800cc,2020,petrol,16700,2020
161,Triumph,Triumph Rocket III Roadster ,1431000,mumbai,650cc,2016,petrol,4900,2016
162,Suzuki,Suzuki Intruder M1800R ,832100,mumbai,650cc,2013,petrol,2850,2013
163,Suzuki,Suzuki GSX-S750 ,736700,mumbai,650cc,2018,petrol,14785,2018
164,Honda,Honda CB 1000R ,1351500,mumbai,100cc,2018,petrol,5200,2018
165,Triumph,Triumph Street Twin 900cc ,742000,mumbai,900cc,2020,petrol,28600,2020
166,Triumph,Triumph Bonneville T100 900cc ,450500,mumbai,900cc,2015,petrol,8100,2015
